id,name,address, phone, website
1, Curtis Homes, "131 Main St , Prince Frederick, MD 20678",(410) 257-6100, "http://www.curtishomes.com/"
2, Lakeside Title Company, "10425 Southern Maryland Blvd, Dunkirk, MD 20754",(301) 855-2700, "http://lakesidetitle.com/"
3, Express Employment Professionals, "3050 S National Ave #200, Springfield, MO 65804",(417) 887-5900, "https://www.expresspros.com/springfieldmo/"
4, Pfizer Inc, "1667 K St NW #1270, Washington, DC 20006",(202) 659-8320, "https://www.pfizer.com/"
5, Select Printing & Copying, "1110 Vermont Ave NW, Washington, DC 20005",(202) 463-8383,"http://www.selectprinting.net/"
6, WC Smith, "1100 New Jersey Ave SE #1000, Washington, DC 20003", (202) 371-1220, "https://www.wcsmith.com/"
7, Delaware City Refinery, "4550 Wrangle Hill Rd, Delaware City, DE 19706", (302) 834-6200, "http://www.pbfenergy.com/"
8, Pennsylvania Paper & Supply Company, "215 Vine St, Scranton, PA 18501", (570) 343-1112, "http://www.papaper.com/landing/"
9, Zippo Manufacturing Company, "401 Congress St, Bradford, PA 16701", (814) 368-2991, "https://www.zippo.com/"
10, McKinsey & Company, "300 E Randolph St, Chicago, IL 60601", (312) 551-3500, "https://www.mckinsey.com/midwest/chicago"
